Date,Start_Hour,End_Hour,Day_of_Year,Day_Name,Month_Name,Season,Production
2022-12-18 00:00:00,21,22,352,Sunday,December,Winter,11400
2024-01-29 00:00:00,14,15,29,Monday,January,Winter,7917
2024-08-01 00:00:00,15,16,214,Thursday,August,Summer,8835
2020-11-10 00:00:00,1,2,315,Tuesday,November,Fall,989
2022-12-19 00:00:00,1,2,353,Monday,December,Winter,12526
2024-10-18 00:00:00,13,14,292,Friday,October,Fall,4855
2020-04-10 00:00:00,17,18,101,Friday,April,Spring,3692
2023-01-25 00:00:00,0,1,25,Wednesday,January,Winter,2156
2021-12-12 00:00:00,12,13,346,Sunday,December,Winter,5813
2020-10-11 00:00:00,13,14,285,Sunday,October,Fall,6106
2024-01-08 00:00:00,23,0,8,Monday,January,Winter,5515
2020-01-08 00:00:00,18,19,8,Wednesday,January,Winter,2785
2022-01-29 00:00:00,20,21,29,Saturday,January,Winter,8498
2021-06-02 00:00:00,15,16,153,Wednesday,June,Summer,5561
2024-06-11 00:00:00,7,8,163,Tuesday,June,Summer,2328
2020-06-05 00:00:00,21,22,157,Friday,June,Summer,6664
2021-05-02 00:00:00,13,14,122,Sunday,May,Spring,4993
2022-01-13 00:00:00,0,1,13,Thursday,January,Winter,3276
2020-07-24 00:00:00,3,4,206,Friday,July,Summer,1739
2024-08-29 00:00:00,5,6,242,Thursday,August,Summer,2083
2024-01-03 00:00:00,0,1,3,Wednesday,January,Winter,17272
2024-04-02 00:00:00,2,3,93,Tuesday,April,Spring,12285
2020-07-29 00:00:00,16,17,211,Wednesday,July,Summer,3480
2024-11-05 00:00:00,6,7,310,Tuesday,November,Fall,1690
2022-10-24 00:00:00,8,9,297,Monday,October,Fall,11508
2023-02-27 00:00:00,10,11,58,Monday,February,Winter,15692
2020-04-02 00:00:00,15,16,93,Thursday,April,Spring,4169
2020-05-13 00:00:00,3,4,134,Wednesday,May,Spring,3174
2023-11-22 00:00:00,14,15,326,Wednesday,November,Fall,7314
2021-09-11 00:00:00,11,12,254,Saturday,September,Fall,4969
2025-04-07 00:00:00,15,16,97,Monday,April,Spring,9862
2025-07-27 00:00:00,22,23,208,Sunday,July,Summer,3862
2021-03-11 00:00:00,13,14,70,Thursday,March,Spring,16144
2022-04-30 00:00:00,16,17,120,Saturday,April,Spring,8188
2023-01-19 00:00:00,23,0,19,Thursday,January,Winter,1710
2022-09-11 00:00:00,4,5,254,Sunday,September,Fall,472
2021-09-25 00:00:00,16,17,268,Saturday,September,Fall,3402
2020-08-08 00:00:00,12,13,221,Saturday,August,Summer,3996
2021-06-08 00:00:00,1,2,159,Tuesday,June,Summer,1148
2024-06-10 00:00:00,21,22,162,Monday,June,Summer,4062
2020-06-18 00:00:00,0,1,170,Thursday,June,Summer,1443
2023-05-30 00:00:00,17,18,150,Tuesday,May,Spring,13363
2022-02-17 00:00:00,1,2,48,Thursday,February,Winter,15609
2022-05-11 00:00:00,19,20,131,Wednesday,May,Spring,8878
2024-05-07 00:00:00,7,8,128,Tuesday,May,Spring,2974
2025-11-22 00:00:00,12,13,326,Saturday,November,Fall,12324
2021-04-09 00:00:00,21,22,99,Friday,April,Spring,5279
2021-12-24 00:00:00,11,12,358,Friday,December,Winter,3872
2023-03-11 00:00:00,12,13,70,Saturday,March,Spring,6406
2021-08-13 00:00:00,13,14,225,Friday,August,Summer,5323
2021-02-01 00:00:00,15,16,32,Monday,February,Winter,7166
2023-09-11 00:00:00,13,14,254,Monday,September,Fall,7117
2020-07-01 00:00:00,13,14,183,Wednesday,July,Summer,5874
2025-03-10 00:00:00,9,10,69,Monday,March,Spring,4807
2023-06-23 00:00:00,15,16,174,Friday,June,Summer,7976
2023-02-09 00:00:00,13,14,40,Thursday,February,Winter,5168
2020-05-24 00:00:00,0,1,145,Sunday,May,Spring,4384
2021-07-26 00:00:00,23,0,207,Monday,July,Summer,1465
2020-09-28 00:00:00,6,7,272,Monday,September,Fall,3962
2021-08-25 00:00:00,0,1,237,Wednesday,August,Summer,6786
2021-12-16 00:00:00,14,15,350,Thursday,December,Winter,5553
2022-03-11 00:00:00,22,23,70,Friday,March,Spring,10557
2020-04-13 00:00:00,17,18,104,Monday,April,Spring,10961
2022-10-04 00:00:00,23,0,277,Tuesday,October,Fall,2160
2025-06-12 00:00:00,1,2,163,Thursday,June,Summer,8382
2022-08-18 00:00:00,10,11,230,Thursday,August,Summer,3688
2025-10-25 00:00:00,18,19,298,Saturday,October,Fall,8209
2023-10-24 00:00:00,22,23,297,Tuesday,October,Fall,6448
2021-10-13 00:00:00,18,19,286,Wednesday,October,Fall,2194
2025-07-19 00:00:00,11,12,200,Saturday,July,Summer,10173
2021-06-01 00:00:00,5,6,152,Tuesday,June,Summer,5221
2022-06-30 00:00:00,22,23,181,Thursday,June,Summer,2181
2020-01-04 00:00:00,5,6,4,Saturday,January,Winter,3143
2020-04-23 00:00:00,3,4,114,Thursday,April,Spring,2541
2021-09-19 00:00:00,9,10,262,Sunday,September,Fall,4133
2021-02-01 00:00:00,5,6,32,Monday,February,Winter,5020
2022-07-08 00:00:00,8,9,189,Friday,July,Summer,3748
2025-07-08 00:00:00,13,14,189,Tuesday,July,Summer,13125
2021-07-07 00:00:00,14,15,188,Wednesday,July,Summer,5096
2020-01-22 00:00:00,15,16,22,Wednesday,January,Winter,4074
2025-06-28 00:00:00,17,18,179,Saturday,June,Summer,7681
2021-02-25 00:00:00,3,4,56,Thursday,February,Winter,4820
2021-05-22 00:00:00,17,18,142,Saturday,May,Spring,10961
2022-02-16 00:00:00,5,6,47,Wednesday,February,Winter,14822
2023-06-22 00:00:00,4,5,173,Thursday,June,Summer,3376
2022-06-18 00:00:00,22,23,169,Saturday,June,Summer,8199
2022-06-08 00:00:00,15,16,159,Wednesday,June,Summer,10512
2022-12-01 00:00:00,3,4,335,Thursday,December,Winter,3869
2023-04-17 00:00:00,16,17,107,Monday,April,Spring,10404
2020-12-09 00:00:00,9,10,344,Wednesday,December,Winter,3334
2023-02-07 00:00:00,18,19,38,Tuesday,February,Winter,5042
2020-09-28 00:00:00,20,21,272,Monday,September,Fall,4228
2023-02-12 00:00:00,15,16,43,Sunday,February,Winter,5718
2023-11-23 00:00:00,2,3,327,Thursday,November,Fall,2948
2024-12-12 00:00:00,19,20,347,Thursday,December,Winter,3528
2025-05-11 00:00:00,1,2,131,Sunday,May,Spring,7504
2024-05-30 00:00:00,19,20,151,Thursday,May,Spring,8561
2024-07-29 00:00:00,16,17,211,Monday,July,Summer,8215
2024-08-27 00:00:00,23,0,240,Tuesday,August,Summer,3000
2021-11-13 00:00:00,9,10,317,Saturday,November,Fall,5084
2021-09-20 00:00:00,19,20,263,Monday,September,Fall,3112
2023-02-13 00:00:00,12,13,44,Monday,February,Winter,6722
2020-11-14 00:00:00,2,3,319,Saturday,November,Fall,4362
2025-01-29 00:00:00,0,1,29,Wednesday,January,Winter,18199
2022-03-02 00:00:00,4,5,61,Wednesday,March,Spring,2961
