Source,End_Hour,Start_Hour,Date,Production
Wind,10,9,3/3/2021,1845
Wind,15,14,6/22/2021,6749
Solar,14,13,3/19/2025,13786
Wind,20,19,5/31/2020,5250
Wind,17,16,2/21/2020,7148
Wind,9,8,6/4/2023,4706
Wind,19,18,3/3/2025,2282
Solar,13,12,8/17/2025,11455
Wind,22,21,1/3/2020,4570
Wind,19,18,5/19/2023,8236
Wind,6,5,4/3/2021,7508
Solar,13,12,7/16/2025,16160
Wind,6,5,6/8/2024,2141
Solar,16,15,9/29/2022,3999
Wind,9,8,9/19/2024,8855
Wind,21,20,5/23/2021,6519
Wind,3,2,11/19/2024,16568
Wind,13,12,11/2/2025,17124
Wind,20,19,3/6/2020,4409
Wind,15,14,9/24/2025,10617
Wind,1,0,3/6/2021,6907
Wind,2,1,1/8/2024,11458
Wind,10,9,1/29/2024,8026
Wind,22,21,6/8/2024,2990
Wind,3,2,9/5/2020,2313
Solar,17,16,8/29/2023,6026
Wind,22,21,3/31/2023,17308
Solar,13,12,8/2/2021,4915
Wind,20,19,11/12/2021,4622
Wind,14,13,4/7/2024,6534
Wind,21,20,8/23/2022,692
Solar,13,12,3/31/2025,12441
Wind,0,23,12/12/2024,3205
Wind,15,14,10/30/2023,6382
Wind,0,23,7/13/2025,2819
Wind,17,16,3/10/2020,12787
Wind,4,3,1/9/2021,2353
Wind,3,2,4/2/2021,7071
Wind,22,21,11/24/2022,10233
Wind,5,4,8/4/2025,2819
Solar,11,10,9/24/2021,3708
Wind,15,14,11/14/2020,9092
Solar,12,11,2/12/2025,3734
Wind,18,17,11/18/2024,7419
Solar,12,11,8/25/2025,7160
Wind,14,13,11/11/2025,13901
Wind,10,9,9/15/2021,2675
Wind,8,7,8/21/2022,794
Wind,4,3,11/14/2025,10916
Solar,11,10,4/30/2022,6810
Wind,4,3,10/9/2022,4965
Wind,1,0,4/26/2024,2294
Wind,16,15,3/12/2022,9696
Solar,13,12,2/21/2023,4252
Solar,12,11,3/29/2023,8491
Wind,23,22,4/27/2021,2003
Wind,5,4,2/17/2020,6453
Wind,0,23,1/19/2024,3521
Wind,8,7,3/31/2025,5090
Wind,13,12,11/2/2021,6192
Wind,8,7,11/11/2022,3461
Solar,13,12,10/26/2021,5605
Wind,20,19,9/22/2022,399
Solar,14,13,5/11/2025,4563
Wind,2,1,1/28/2022,2439
Wind,11,10,11/20/2022,9228
Wind,2,1,7/12/2022,4082
Wind,13,12,11/24/2024,22929
Wind,5,4,2/1/2020,9131
Wind,6,5,11/6/2024,189
Wind,10,9,10/28/2021,6796
Wind,13,12,10/22/2020,5144
Wind,1,0,3/10/2022,6808
Wind,6,5,11/3/2021,3819
Wind,3,2,12/8/2024,16670
Wind,6,5,6/3/2020,631
Wind,12,11,6/27/2020,9506
Wind,4,3,6/4/2021,1527
Wind,23,22,11/17/2020,2667
Wind,9,8,10/21/2021,11321
Wind,0,23,8/19/2021,940
Wind,0,23,6/4/2020,2918
Solar,12,11,8/14/2023,7955
Wind,4,3,5/13/2024,2321
Solar,17,16,8/11/2024,5870
Wind,8,7,5/4/2021,13322
